ID,filename,extent,growth_stage_F,growth_stage_M,growth_stage_S,growth_stage_V,damage_DR,damage_DS,damage_G,damage_ND,damage_PS,damage_WD,season_LR2020,season_LR2021,season_SR2020,season_SR2021
ID_C77HYF7IPF,235_repeat_2_1126_270_185.JPG,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
ID_8CK94ST9QJ,L415F00897C39S14433Rp37935.jpg,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
ID_O1UXXGFU6X,L1122F00056C39S12132Rp33249.jpg,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
ID_TPRCZ8E6Q3,21_repeat_2_1355_5793_4168.JPG,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0
ID_0J71D5OD7L,L125F01843C01S13944Rp43481.jpg,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
ID_61MVPX99CB,L406F02438C01S03116Rp14796.jpg,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0
ID_K04EGHEK2G,L1153F04299C01S10885Rp26275.jpg,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0
ID_F076O19QWT,L371F01136C01S01512Ip.jpg,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
ID_O25Y9DAGAH,L1125F02305C01S07542Rp15512.jpg,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
ID_0IA1M8YHHR,214_repeat_2_2417_2892_1852.JPG,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
ID_S44Q7AWDLQ,L1124F01797C39S13974Rp40387.jpg,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
ID_HSDC8ZMI9T,L133F00686C01S01088Rp12406.jpg,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0
ID_8GNAA4841Z,L1132F04288C39S12084Rp41106.jpg,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1
ID_UO67VE5DD7,90_repeat_2_1845_717_486.JPG,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
ID_HNACGIT630,L122F01212C39S13113Rp47367.jpg,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
ID_9K08CVWPDM,L433F00454C01S01423Rp14791.jpg,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0
ID_SUZYH0O4RR,L1125F00286C01S06790Rp29302.jpg,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0
ID_GMRQMRAJZM,L361F03439C39S13045Rp46573.jpg,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
ID_4R761HG81G,L355F02282C02S08910Rp23902.jpg,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
ID_O78ICCDOWO,L1150F01046C39S11867Ip.jpg,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
ID_9AR29M9PG3,L1084F01368C01S00079Rp07837.jpg,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0
ID_87NQ8M9OOL,L134F00752C39S13737Rp37818.jpg,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
ID_U5Q8FUQPF2,L1153F03614C01S01610Rp08095.jpg,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0
ID_MFLFA96E1K,L231F02027C03S08761Rp17523.jpg,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
ID_DNAVC49WW1,L141F01380C01S02260Rp00348.jpg,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
ID_HO0R79L7B5,L1089F02252C01S06763Rp15356.jpg,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
ID_LDCE753G4X,L398F02242C39S14349Rp36622.jpg,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
ID_ZHM4NDMXNM,L331F04174C01S06920Rp19789.jpg,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
ID_62QB3PFZ80,L1093F01350C01S00978Rp00492.jpg,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
ID_F9Z02BBK12,L1093F01350C01S00978Rp07940.jpg,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0
ID_4QOZWC37QI,L361F00187C39S14462Rp46352.jpg,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
ID_T3FYAYIBJ2,L361F02346C01S10016Rp27510.jpg,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
ID_QYNEVRH9VU,L222F01109C01S03762Rp14789.jpg,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0
ID_T6A46C1CQD,L221F01605C39S13060Rp46398.jpg,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
ID_9QLER1YP2G,L243F04631C41S12214Rp48079.jpg,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1
ID_5ET9Y8EKJT,L428F01010C39S14390Ip.jpg,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
ID_EFU7Y2525P,L354F03986C01S01036Rp14993.jpg,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0
ID_S02NBETLXV,L406F00126C39S12385Rp36326.jpg,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1
ID_X6B6GS2PUP,L426F02817C39S14970Rp47041.jpg,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1
ID_AZA6SO8Y0X,L376F02459C39S14799Ip.jpg,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
ID_ID0AQ3R0TR,L415F00225C01S08018Rp31668.jpg,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0
ID_GZPP71WJ8S,L131F03895C39S13135Rp47688.jpg,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1
ID_ILJ4SKMYKE,L124F00641C39S12718Rp40693.jpg,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
ID_7DSC7O4TN0,L144F02173C01S08707Rp30166.jpg,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0
ID_9R816O3JIE,L325F01429C01S00525Rp03315.jpg,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
ID_XT1LELN7EA,L232F01158C01S01278Rp02029.jpg,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
ID_5Z3TJ1LNVW,L354F03979C01S03095Rp14446.jpg,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0
ID_UMPUF9ZSNS,87_repeat_2_2209_4868_3243.JPG,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
ID_8Q5RMJKEFY,L144F01278C01S07651Rp30155.jpg,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0
ID_NWSSP4H3Y8,168_repeat_2_1246_4143_2720.JPG,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0
ID_D3MGDTHAKA,L331F00159C01S03450Rp13718.jpg,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0
ID_B51C22KUJG,L1136F00508C39S11638Rp42718.jpg,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1
ID_F3RRTKH602,10_repeat_2_1292_6334_4707.JPG,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0
ID_SUMQUH5PNT,L1122F00056C01S00170Rp07379.jpg,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0
ID_LUTLIEPZW1,L314F03000C39S12476Rp40794.jpg,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
ID_933JU44SP9,L354F00183C39S12941Rp45501.jpg,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
ID_LBQ26ZQ3A2,L144F03600C39S12512Rp48965.jpg,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1
ID_SGIX2U81GP,L321F03607C01S08266Rp18990.jpg,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
ID_KQFRTXGP8F,L406F01761C01S01359Rp12944.jpg,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0
ID_MWXD4SCQEX,L435F01919C01S03748Rp03885.jpg,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
ID_J1I9ZB83TI,L133F01859C01S06953Rp25815.jpg,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0
ID_YVO64H9IXE,L133F00698C01S05265Rp14076.jpg,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0
ID_EDOJNQN4JX,L1094F01561C01S01971Rp05437.jpg,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0
ID_399X5FVSCY,222_repeat_2_1818_6229_4597.JPG,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0
ID_DH86TUCLTD,246_repeat_2_1386_3970_2548.JPG,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
ID_CVQPGQHNTP,L1095F00444C39S12039Dp41460.jpg,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1
ID_4TV3XRAE5S,L428F02102C03S09325Rp31762.jpg,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
ID_C7CIMIXNTW,L221F01779C01S03329Ip.jpg,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
ID_ZEYRQO6RV7,L321F01949C01S05642Rp09197.jpg,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
ID_LY4DGOSGF3,L415F04501C39S12605Rp43449.jpg,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
ID_C7WCIA58C9,L428F01576C39S14180Ip.jpg,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
ID_PX4TNORDI3,L321F01946C01S05645Rp12466.jpg,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0
ID_2FHTNID0E0,L1094F00019C01S00473Rp06764.jpg,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0
ID_CB4UUF3Y52,L133F00297C39S14525Rp48121.jpg,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1
ID_2OC9SZE840,L1093F00035C01S00165Rp07918.jpg,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0
ID_TYFGDAGTOS,L222F03347C01S03318Rp14786.jpg,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0
ID_H7B23XDOH0,L1124F00356C39S14161Dp40392.jpg,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
ID_TY3X49YXBL,L133F00689C01S09566Rp25654.jpg,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0
ID_LWJE68L9VQ,L1136F02557C01S01492Rp04947.jpg,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0
ID_FNU9GCWWYO,L133F03263C01S00308Rp13602.jpg,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0
ID_35K9OMA21F,L1153F03533C01S01053Rp09103.jpg,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0
ID_FQ8D85053M,L1093F00637C01S08389Rp22351.jpg,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
ID_D5ZN3UT6J4,L398F01276C01S03717Rp07932.jpg,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
ID_Q89318YZJO,L376F00479C01S07661Rp17906.jpg,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
ID_BRBXEI4GZ6,L325F03081C01S00070Rp14814.jpg,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0
ID_WU57JX7OXU,L398F02597C01S10287Rp18374.jpg,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
ID_Y9NF7Y4M2C,L134F00872C39S14245Rp47700.jpg,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1
ID_2BSIVKAT4A,L1136F00508C39S11638Rp42717.jpg,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1
ID_OZRGSITS5A,L144F01154C03S08604Rp26968.jpg,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0
ID_DW52DYN1I1,L124F03423C01S01216Rp09041.jpg,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
ID_CSHPSWPY4W,23_repeat_2_1262_3619_2363.JPG,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
ID_NU5LQE0E1V,L1102F01698C01S08164Rp15660.jpg,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
ID_PUP47BRH97,L1133F01842C01S01532Rp06513.jpg,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0
ID_4IAWLYTBE8,L124F00080C01S08420Rp17873.jpg,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
ID_EQ7H4WO5BS,L1093F00637C01S08389Rp24960.jpg,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
ID_RAFF1RAFT9,L354F03914C39S14693Rp42512.jpg,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
ID_O4V8O2DNNU,L342F02131C01S03422Rp13571.jpg,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0
ID_08JQSLN5HS,L1133F01842C39S12115Rp41867.jpg,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1
ID_OTFES5H3Q7,L433F02057C39S14347Rp48361.jpg,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1
ID_3HGEK0QFIA,L134F04023C01S02591Rp14649.jpg,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0
ID_G1KOXVHDLQ,L365F03009C01S09123Rp19094.jpg,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
ID_R9N3JYZ7ZM,L134F04227C01S05659Rp14050.jpg,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0
ID_NR9M8QX29J,L134F00857C01S05357Rp14095.jpg,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0
ID_SQRZM5HXH4,L133F03014C01S00293Rp13605.jpg,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0
ID_J9734819I8,158_repeat_2_1491_5507_3883.JPG,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0
ID_7JI30VC8TL,L1083F03187C39S12105Rp32797.jpg,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
ID_PKDWISDVM4,L231F02809C03S08001Rp29062.jpg,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0
ID_H7GM2A2S59,L341F01593C01S00995Rp08660.jpg,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
ID_7Z8GEXDJSX,L134F00852C01S01079Rp13533.jpg,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0
ID_YBEN1NODEL,L1084F02124C01S02995Rp01065.jpg,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
ID_75P8RVAJJL,L1093F00010C01S02842Rp10801.jpg,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0
ID_VQWAZIY3L0,L415F00414C39S12964Rp43478.jpg,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
ID_C3ZUQCKGXI,L133F01782C01S05327Rp14542.jpg,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0
ID_K2ZBJK2YDI,L415F01542C39S14426Rp35126.jpg,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
ID_TO7EDGGL0W,L1093F00908C39S11579Rp33754.jpg,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1
ID_VEZINN3AWE,L1153F03533C01S01053Rp07197.jpg,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0
ID_JOVF0H7LQJ,L341F01426C01S00376Rp12643.jpg,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0
ID_2HE4FX8OG1,193_repeat_2_2067_903_579.JPG,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
ID_3CYORO0NVD,L222F01762C01S06827Rp20529.jpg,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
ID_5P25PP4NJT,L134F00801C01S05281Rp14564.jpg,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0
ID_9W2DZNGVJ3,L144F03153C01S00171Rp14666.jpg,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0
ID_27VG1KWZ0M,L134F00769C01S05284Rp14557.jpg,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0
ID_NNNPKA19KF,L398F01012C01S03352Rp10880.jpg,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
ID_82SCTRF05P,L133F00737C01S06945Rp27404.jpg,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0
ID_S5EC16D44O,L131F03902C01S00072Rp08966.jpg,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
ID_NQBH2UN329,L232F04066C41S14806Rp34951.jpg,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
ID_4K3008GJMY,L376F00894C39S14510Dp44381.jpg,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
ID_N4XIFA2VLV,L141F02587C39S12523Rp33712.jpg,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
ID_J4B77NYQ2U,L1150F01773C39S12209Rp40073.jpg,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
ID_GK4WBNN431,L1122F02550C39S14372Rp42248.jpg,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1
ID_Q6SP9PZMK3,L144F01957C01S00514Rp14665.jpg,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0
ID_2BVBX3CA50,L1125F02160C01S09388Rp17776.jpg,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
ID_CCHTH10UPK,127_repeat_2_3121_5124_3447.JPG,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0
ID_XCDMB2C24Z,L1116F01189C01S03183Rp01775.jpg,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
ID_R96WWAVOV9,L1123F02853C01S02685Rp06507.jpg,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0
ID_U3T16E7SZI,L354F03994C01S01040Rp14976.jpg,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0
ID_X6OE7UBW05,L221F00396C01S03309Rp14301.jpg,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0
ID_3BIBRS0544,L435F00199C03S07473Rp22784.jpg,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
ID_RHD71IORAR,L371F00110C01S06849Rp28324.jpg,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
ID_6NNMACKM15,L232F00247C02S07278Rp18460.jpg,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
ID_W469HL9IAH,L144F01154C41S14167Ip.jpg,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
ID_PZP7FM1GDD,L428F00922C39S13831Ip.jpg,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
ID_KJX2OA9JJN,L365F03009C39S12460Rp33787.jpg,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
ID_5NNS1CQ63X,L1102F01999C39S11601Dp39268.jpg,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1
ID_3I2SDQXQFO,L1094F00036C01S00071Rp08123.jpg,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0
ID_CRVC7SMLCG,L365F03201C01S01519Rp14543.jpg,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
ID_F8A2V4ROXV,L1153F04305C39S11873Rp42230.jpg,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1
ID_KNHY0T7AE5,L133F00573C01S05453Rp14501.jpg,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0
ID_9QHBUIWT5K,231_repeat_2_2010_3207_2033.JPG,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
ID_M1WQ2NE4SZ,L124F00332C01S00244Rp08165.jpg,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
ID_IFXR7L6N7J,L992F04355C39S14824Rp40700.jpg,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1
ID_T7YF4VML49,L133F00713C39S14619Rp47503.jpg,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1
ID_U3N2CQTKEF,179_repeat_2_1332_3932_2506.JPG,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0
ID_QQD48SCXPE,L242F00375C03S08199Rp27045.jpg,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0
ID_JQBOY9DT3H,L1136F00047C39S11862Dp42579.jpg,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1
ID_2Z3E1UAGQ2,16_initial_1_1028_1028.JPG,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
ID_X52YM591ON,L1093F03512C01S02909Rp08229.jpg,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0
ID_386JYU98PD,L427F03233C39S15045Rp47240.jpg,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1
ID_ICWIE9KZ8H,L121F03192C01S07212Rp26722.jpg,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
ID_3YMPKTC068,L331F00159C01S07079Rp28397.jpg,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
ID_0AG8Z9OH4R,L354F01735C01S02840Rp09097.jpg,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
ID_38OTXZBAAH,L398F00102C01S01131Rp07925.jpg,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
ID_QX4M9GO46B,L331F00956C01S05381Rp03241.jpg,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
ID_BNC379K4SF,L411F02858C01S08192Rp29889.jpg,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0
ID_OWJM7BO6B9,L124F01520C01S01000Rp00728.jpg,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
ID_TTQRBPYPYW,L435F02059C01S07475Rp23827.jpg,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
ID_MZS3JEEANX,L1102F00407C01S01529Rp09486.jpg,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0
ID_P1IM7B9DSA,L1089F00469C01S07713Rp27309.jpg,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
ID_493DYCLOQ0,L133F00691C01S09568Rp20411.jpg,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0
ID_J6I65M7QZV,L1084F01485C39S11766Rp41503.jpg,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1
ID_TWCN5DDQFN,L124F00080C01S00227Rp10678.jpg,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
ID_IF80EAM7UB,L405F02052C01S08309Rp18662.jpg,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
ID_GQVRLF5QBK,L1094F00039C01S07300Rp18485.jpg,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
ID_VM7839E57K,L134F00791C01S05369Rp14111.jpg,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0
ID_Q0NF5A3IYY,L311F00639C01S00888Ip.jpg,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0
ID_56M7GHWF31,L144F00512C01S07633Rp30712.jpg,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0
ID_2D5QAJ3XSH,L1089F04702C39S11676Rp41886.jpg,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1
ID_QTVDQ8VBOM,L1142F00326C39S12368Ip.jpg,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
ID_25J0QPNSX0,L1084F00022C39S12023Rp41689.jpg,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1
ID_DCAWLIV1Y0,L331F04121C01S07792Rp16809.jpg,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
ID_UFRUN6VI00,L410F01562C01S08204Rp26374.jpg,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0
ID_AFNR9IEGD8,L1130F01872C01S07582Rp25585.jpg,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0
ID_8H3TGIYUDT,L326F01985C01S04233Rp11305.jpg,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
ID_Z3D5OTW653,L133F01993C39S14735Rp46217.jpg,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1
ID_H6ELTR9T22,L221F03319C01S05097Rp13813.jpg,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0
ID_6DCDC4QSBZ,L326F01979C39S14289Ip.jpg,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
ID_LR8PRX6TZ3,L133F00088C01S01080Rp14061.jpg,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0
ID_J9S86GVH40,L1102F02798C39S11696Ip.jpg,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
ID_86N92GXHRL,L331F04183C39S12632Rp45300.jpg,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
ID_VD7WE8SYYN,L354F02406C01S03052Rp03299.jpg,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
ID_SF5QCWLOAA,L323F02774C01S03112Rp14372.jpg,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0
ID_Y990NW8QJ4,L373F01695C41S12960Rp49126.jpg,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
ID_8GNRMTB6M7,L1149F01928C39S11809Rp42387.jpg,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1
ID_5EX8S2GRQY,L354F00276C01S08045Rp28842.jpg,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
