ID,filename,extent,growth_stage_F,growth_stage_M,growth_stage_S,growth_stage_V,damage_DR,damage_DS,damage_G,damage_ND,damage_PS,damage_WD,damage_WN,season_LR2020,season_LR2021,season_SR2020,season_SR2021
ID_LZFD3FH4HU,L341F02966C01S00940Ip.jpg,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
ID_FG0PBBYT13,L1094F04323C01S07338Rp22117.jpg,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
ID_R853LMWZ7Q,L1094F01705C39S11724Rp33341.jpg,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
ID_6WCUQ77IN6,L1093F03427C01S06786Rp27613.jpg,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
ID_9YYL8GH04Y,L410F00106C39S14584Dp47971.jpg,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
ID_SWSSEGTKTH,L315F00144C01S03457Rp14425.jpg,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
ID_HE91W1G7EL,L405F01710C01S08305Rp23582.jpg,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
ID_C95XTUUVD0,L144F00679C01S00228Ip.jpg,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
ID_SHXY6LNT0L,L144F00933C01S00243Rp13580.jpg,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
ID_PRU9O9D0HP,L436F00203C01S01075Rp12913.jpg,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
ID_VIHOFML01M,L121F01917C39S13606Rp42363.jpg,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
ID_FX6DVT53GO,L121F03212C01S07133Rp17729.jpg,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
ID_OLYJWFDRV0,L121F01916C01S02472Rp14759.jpg,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
ID_M1NTXTTBKT,L361F02341C39S14060Rp41602.jpg,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
ID_MBHYNMR6YT,L133F03171C01S05504Rp14544.jpg,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
ID_QIL63XGUFW,L144F00935C01S00248Rp12895.jpg,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
ID_HOJO96TVMT,L131F00084C01S06808Rp26391.jpg,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
ID_DQOVX2MTR8,L354F00181C01S00963Rp12057.jpg,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
ID_DZDDJHAZRZ,10_repeat_2_1292_6333_4706.JPG,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
ID_I26MTTK5SK,L242F01471C03S08179Rp27389.jpg,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
ID_6NIXWIP5NX,L410F02693C01S01335Rp14831.jpg,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
ID_4QRI9SZBBH,L1083F00026C39S12100Ip.jpg,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
ID_0DVJ3ZGZON,L133F03151C01S05462Rp04341.jpg,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
ID_Q2FRIUF0M1,L1084F01431C39S13924Rp34753.jpg,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
ID_79XLBKGJNH,L311F00639C01S00888Rp02353.jpg,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
ID_OYS3316XLA,L342F01845C39S14028Rp48419.jpg,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
ID_BEW9OWA42H,L428F01846C01S09498Rp20481.jpg,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
ID_4FMQBFZCGV,L323F01551C01S01270Rp13734.jpg,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
ID_LW6P4N6TPQ,L376F02678C39S14514Ip.jpg,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
ID_CCR8HU0KVI,L376F03290C01S07152Rp29577.jpg,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
ID_BX8WLQAP6D,L131F03894C01S01626Rp14638.jpg,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
ID_A1SG04JUCK,L342F01548C39S13417Rp39992.jpg,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
ID_41F1ZIANVL,L1136F03417C01S01493Rp10097.jpg,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
ID_WN5UW8OP14,L124F00335C01S00117Rp14689.jpg,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
ID_ZQ2B1P86EG,L1094F04272C01S08423Rp17376.jpg,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
ID_YVKA8JQRAR,128_repeat_2_1047_5990_4350.JPG,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
ID_TYUV13V7PJ,L1089F00425C01S08463Rp22457.jpg,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
ID_YK4F9G82NU,L134F00761C01S02738Rp12932.jpg,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
ID_VM7839E57K,L134F00791C01S05369Rp14111.jpg,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
ID_RRDUOFSHWY,L1094F04337C01S07341Rp27166.jpg,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
ID_V6PNEVN8KU,126_repeat_2_2846_5337_3701.JPG,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
ID_4Y2NZPBX0P,L398F01379C01S08247Rp22704.jpg,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
ID_94MQB9SQ87,L429F01328C01S01599Rp13500.jpg,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
ID_74SNMWL2XW,L1083F03572C01S08455Rp19720.jpg,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
ID_TPRCZ8E6Q3,21_repeat_2_1355_5793_4168.JPG,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
ID_UTA7VMPBA3,L1095F01453C01S00474Rp09210.jpg,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
ID_ID0AQ3R0TR,L415F00225C01S08018Rp31668.jpg,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
ID_F1QUV3QFJO,L1084F00022C01S00077Rp06917.jpg,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
ID_IJBAIHEOOO,L435F01432C02S07913Rp26702.jpg,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
ID_QNEV1KGZ7I,L398F00102C01S01131Rp14998.jpg,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
ID_VCVFAS6GV2,L1142F01641C20S10746Rp26589.jpg,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
ID_JCF417BGTY,L144F01895C01S01815Rp13829.jpg,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
ID_J7GJ4397XI,L311F00523C01S00633Rp03527.jpg,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
ID_D02GYYF4KC,L325F00154C01S00074Rp14816.jpg,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
ID_G4QTOH3OMZ,L222F00241C01S03911Rp14787.jpg,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
ID_0VJ43AZ4DQ,L1094F04312C01S07061Rp17073.jpg,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
ID_ZHFSCH9IR2,L341F01378C39S12278Rp33858.jpg,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
ID_L6E132LLR8,L331F04061C39S14889Rp38443.jpg,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
ID_WP2OX9VGK5,L1116F03037C01S03186Rp01766.jpg,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
ID_0IS71I3P3M,L1094F02309C01S02595Rp09556.jpg,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
ID_9GFIQNQ1YR,L428F00327C01S01374Rp06055.jpg,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
ID_UAMO5UTEUD,L354F03993C01S01042Rp14722.jpg,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
ID_V4XWJ5PDUT,L131F03901C01S07659Rp26963.jpg,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
ID_EC7FELEL5B,L1122F01083C01S09922Rp19393.jpg,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
ID_NTGDRG0F9P,L325F03612C01S00683Rp13323.jpg,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
ID_00HZ3RHN8D,L134F00823C39S14202Rp48348.jpg,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
ID_PYX5E2WVQA,L1153F00627C01S01612Rp09206.jpg,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
ID_J0FT1CY09J,L1115F00029C01S00141Rp07177.jpg,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
ID_C3ZUQCKGXI,L133F01782C01S05327Rp14542.jpg,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
ID_CL5DG1JR9O,L315F02433C01S02269Rp02219.jpg,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
ID_NF4S9B8B1G,L1136F03631C01S09390Rp30937.jpg,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
ID_E6Y9LKBSLZ,L133F00686C01S01088Rp13556.jpg,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
ID_4VRUQMN677,L134F00806C01S05234Rp14040.jpg,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
ID_AYWJ3B4WI8,171_repeat_2_2352_2961_1903.JPG,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
ID_17DTFV4DZF,L311F00523C01S00633Rp08516.jpg,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
ID_TP1R9AVSCB,L376F00111C39S12203Rp32847.jpg,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
ID_8L3ZO0I2A0,L133F00684C01S05229Rp14063.jpg,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
ID_PI8MQBEUPV,L342F01261C39S12288Rp32817.jpg,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
ID_7ZKHR1LZE1,L131F03890C39S12742Rp36290.jpg,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
ID_X0Z44XUH92,L121F02942C01S10733Rp17760.jpg,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
ID_J9734819I8,158_repeat_2_1491_5507_3883.JPG,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
ID_CMGSI2J5LZ,L121F03179C01S02660Rp14758.jpg,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
ID_GSPMLJ8B9N,L376F03184C01S07684Rp29874.jpg,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
ID_JDYN0BVL8D,L406F01517C01S01357Rp13776.jpg,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
ID_ASKHDWXZ0Z,181_repeat_2_1055_6259_4626.JPG,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
ID_XPLCQP277R,L1084F03437C01S07658Rp26013.jpg,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
ID_SUZYH0O4RR,L1125F00286C01S06790Rp29302.jpg,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
ID_8OLXG5WOFG,L133F00689C01S05237Rp14067.jpg,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
ID_UE2R8PU3VP,L1116F01732C01S01549Rp00901.jpg,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
ID_FS48VIG820,L361F02348C01S10019Rp31306.jpg,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
ID_DQ9D2TYQB3,L113F01027C01S10033Rp21491.jpg,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
ID_LGDEY1OR8Z,L1083F03426C39S12095Ip.jpg,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
ID_KE55FQFJ7R,L373F00316C01S04315Ip.jpg,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
ID_7M7EP6Z9XU,L311F00639C01S00888Rp03522.jpg,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
ID_P0E58AUUWB,L1133F01269C01S01602Rp01894.jpg,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
ID_GG2JIWT6MQ,L428F02948C39S14228Dp49341.jpg,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
ID_XKA5O22KS7,154_repeat_2_1581_5252_3611.JPG,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
ID_EDO3K0W5VQ,L1090F00928C01S07908Rp28059.jpg,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
ID_DC4D7FTQVP,L326F00156C01S06977Rp22302.jpg,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
ID_F8GVNIDXEX,129_repeat_2_2272_1033_716.JPG,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
ID_TU8ZWXS4GN,L144F00935C01S00248Rp13579.jpg,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
ID_GI6DM0TECQ,L1150F01224C39S14848Dp42057.jpg,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
ID_9EFCJ5M1AK,232_repeat_2_1553_2528_1544.JPG,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
ID_3VF6E8W8N3,L428F03357C39S14368Rp48692.jpg,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
ID_KGP2RFO2FS,L221F00888C42S13053Rp43872.jpg,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
ID_4T73RAJVWE,L398F03091C01S08245Rp23150.jpg,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
ID_EJQ7J61V43,L133F00686C01S01088Rp11884.jpg,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
ID_GBZW9EEGTK,L341F01441C39S13320Rp48390.jpg,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
ID_3BYN1J1AZL,L133F00952C39S14528Rp41407.jpg,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
ID_FQEOULYQMX,L371F01552C41S14352Rp49184.jpg,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
ID_MNIGFF1916,L134F00875C01S01078Rp12395.jpg,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
ID_7QNFNHIK1K,L141F03368C01S03432Ip.jpg,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
ID_2D5B34Y2RS,L221F03319C01S05097Ip.jpg,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
ID_9BIWTUQF0D,L121F00076C01S03838Rp10386.jpg,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
ID_9TJCBX2FND,L323F03587C01S01272Rp08772.jpg,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
ID_9VU3KNLUBN,L134F04021C01S02976Rp14651.jpg,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
ID_9JMOUJRORE,L354F03993C01S01042Rp14978.jpg,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
ID_IR0NCOZPM4,L410F03168C01S00435Ip.jpg,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
ID_L72MS77ZBO,L354F03994C01S01040Rp14991.jpg,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
ID_U3T16E7SZI,L354F03994C01S01040Rp14976.jpg,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
ID_CX3SQ0D25K,L398F02320C01S08924Rp28661.jpg,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
ID_YY07AYR29L,L121F02311C39S13011Rp42417.jpg,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
ID_5V1X2K65EZ,L371F00127C01S09018Rp22266.jpg,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
ID_MED9Q1D71Z,L133F01257C39S14032Rp46779.jpg,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
ID_2OC9SZE840,L1093F00035C01S00165Rp07918.jpg,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
ID_PLOAMR6O4L,L1102F00365C39S11596Ip.jpg,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
ID_APRMDWE2EY,L1136F03606C01S00740Rp07648.jpg,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
ID_T1ZI24TM39,L1089F02950C01S08472Rp18955.jpg,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
ID_AA1HUDRV13,L341F02738C01S00942Rp13967.jpg,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
ID_ISKJVQDDHC,L315F03220C01S02273Rp14316.jpg,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
ID_QKN6TL10G1,L1083F03426C01S01996Rp07511.jpg,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
ID_MIC1WM9D7Y,L142F01214C01S02990Rp13169.jpg,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
ID_PUP47BRH97,L1133F01842C01S01532Rp06513.jpg,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
ID_PX4KZYRQ31,L341F01593C01S00995Ip.jpg,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
ID_5FWX49ZOKS,L131F03891C39S12717Rp48461.jpg,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
ID_RSF30SEQW1,L429F00489C01S02416Ip.jpg,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
ID_4O6OXSJW8Y,L1124F02956C01S07503Rp32043.jpg,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
ID_16NZCT42MW,L242F01469C39S14069Ip.jpg,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
ID_Z6MYZPFO9L,L1133F01842C01S07752Rp25360.jpg,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
ID_6QRYOQXJ4B,79_repeat_2_1504_6293_4660.JPG,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
ID_8GE5OWGTRU,L1094F00890C01S01969Rp08045.jpg,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
ID_UBN9TO1F9B,L323F03352C01S03113Rp14356.jpg,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
ID_3K9H0QXJWV,L232F00247C01S00872Rp04632.jpg,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
ID_0F4QJKJK3V,L323F03454C01S03115Rp14366.jpg,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
ID_Z6RRSQWYY3,201_repeat_2_1382_6411_4777.JPG,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
ID_GSQBMRR4BC,L134F00875C39S14272Rp44202.jpg,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
ID_ZQ7ARY3P9P,L144F03153C01S00171Rp14664.jpg,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
ID_L2VRV98QM3,L410F01562C01S02763Rp13763.jpg,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
ID_TW7TY6CMOT,L1095F01453C01S00474Rp07855.jpg,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
ID_GV06BG6B29,L331F04184C39S12614Rp36580.jpg,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
ID_DOIXN4IE8B,132_repeat_2_1498_5696_4072.JPG,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
ID_4VRT2IK47Y,L323F00157C01S00044Rp14630.jpg,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
ID_CQ2M5E7IE7,L410F00106C39S14584Rp49299.jpg,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
ID_M3BQ7NORAF,L1125F02253C01S07540Rp22248.jpg,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
ID_XVD9CWVVKW,L134F00875C01S01078Rp13532.jpg,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
ID_6XY2OZTNFS,L435F01432C39S14949Rp49120.jpg,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
ID_REMK3VVGLD,L1094F01746C39S11722Dp42100.jpg,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
ID_5OJF9DQIJB,L371F03452C39S14110Rp47032.jpg,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
ID_HALTN11N9M,L1094F03167C39S11738Rp36178.jpg,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
ID_MXLENYQFTI,L1095F00444C01S00183Rp08630.jpg,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
ID_PW5RO7XKE9,L314F03336C39S12481Rp40797.jpg,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
ID_ZIY41RNUAV,L354F03995C01S03130Rp11026.jpg,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
ID_4WRACBYG3Z,116_repeat_2_2253_3565_2314.JPG,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
ID_IFXR7L6N7J,L992F04355C39S14824Rp40700.jpg,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
ID_1KPEI5O1PE,L1084F03437C39S13933Rp34177.jpg,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
ID_T7FRE86YTP,L134F00771C01S00620Rp12393.jpg,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
ID_05AAFYU1H2,229_repeat_2_2062_4416_2884.JPG,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
ID_2GHR0O7Q82,L354F00181C01S00963Rp13872.jpg,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
ID_JWERGMVNFV,L134F00765C01S02653Rp12930.jpg,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
ID_USFW1TP7IJ,L134F00875C01S01078Rp12990.jpg,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
ID_7QSPILXR3K,L361F03111C39S13043Ip.jpg,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
ID_R8O4UX6RYK,L1089F02252C39S11756Rp33372.jpg,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
ID_7K6UGY9NWN,L433F01088C39S13993Rp48409.jpg,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
ID_L23FWZVTWU,L341F01560C01S00997Rp13983.jpg,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
ID_JK931EV244,L1084F03259C01S00075Rp00661.jpg,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
ID_QLEIM4XXXO,L322F03549C01S02637Rp11469.jpg,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
ID_LDEKVUPJEW,L1093F00014C01S07397Rp26729.jpg,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
ID_BZMEWKN191,L341F01861C01S00985Rp14933.jpg,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
ID_ZB8B3H8DY7,234_repeat_2_1153_1316_1022.JPG,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
ID_XACIHR7XDF,L142F03583C01S03012Rp07807.jpg,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
ID_76WMJK7BGE,L354F00182C39S14682Rp47725.jpg,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
ID_LPW8V5YN84,L1094F03321C01S09039Rp18900.jpg,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
ID_9RGU1BADQJ,L433F00426C01S01260Rp13435.jpg,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
ID_SXY6W4JYVA,L354F00296C01S02546Rp04624.jpg,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
ID_NZ8FVZ55SZ,L435F00660C01S04541Rp14343.jpg,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
ID_8B60OLOTEN,L371F03452C01S03412Rp14395.jpg,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
ID_6KE2IFOT7N,L376F01813C39S14512Dp39562.jpg,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
ID_Q1YWSVZMG0,L1084F01368C01S00079Rp08555.jpg,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
ID_J9947HQKJ6,L1094F02890C01S01972Rp05438.jpg,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
ID_WT14HOTNAD,L429F01804C01S03172Rp04572.jpg,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
ID_IQNYA8XI8R,L325F01649C39S12202Rp41310.jpg,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
ID_0O92R3JVZ2,71_repeat_2_1288_6150_4513.JPG,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
ID_Y9I8AA1HQA,L1089F01745C01S07706Rp23741.jpg,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
ID_AYQO3AA6XY,L144F02115C39S12863Rp36556.jpg,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
ID_PU76D1FQB4,L323F03170C01S00318Rp11639.jpg,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
